post_url,type,date,tags,note_count
http://elriz.com/post/167045822867/whats-your-work-there,answer,2017-11-02 11:09:30 GMT,[],4
http://elriz.com/post/166711219722/were-finally-in-tokyo-its-been-crazy-the,photo,2017-10-23 14:44:00 GMT,"['update', 'tokyo', 'japan', 'travel', 'mobile', 'until then']",44
http://elriz.com/post/166143773977/hi-the-above-photo-was-just-taken-today-here-in,photo,2017-10-07 14:18:15 GMT,"['update', 'photographers on tumblr', 'philippines']",31
http://elriz.com/post/165765207537/help-i-really-need-advice-i-am-planning-to-get-a,text,2017-09-26 17:01:42 GMT,"['I am going home this coming weekend so I hope to get it before I go', ""for the longest time ive been using the 'work' laptop and it's not really prohibited but it's not the best and it's old"", 'plus its blue color is off so i have to check the color on some other device after every pp']",29
http://elriz.com/post/165690038807/taif-crater-saudi-arabia-by-elriz-buenaventura,photo,2017-09-24 15:39:51 GMT,"['landscape', 'mountain', 'photographers on tumblr', 'travel', 'saudi arabia', 'crater', 'ksa', 'taif', 'cliff']",53
http://elriz.com/post/165661211787/saudi-arabia-national-day,photo,2017-09-23 19:52:50 GMT,"['saudi arabia', 'saudi arabia national day', 'photographers on tumblr', 'ksa', 'fireworks', 'al khobar', 'khobar', 'saudi national day']",53
http://elriz.com/post/165616350242/dubai-cityscape-by-elriz-buenaventura,photo,2017-09-22 13:20:14 GMT,"['city', 'travel', 'landscape', 'cityscape', 'photographers on tumblr', 'city lights', 'uae', 'united arab emirates', 'dubai', 'buildings', 'architecture', 'lights', 'long exposure']",328
http://elriz.com/post/165475346207/dubai-metro-dubai-uae,photo,2017-09-18 14:34:44 GMT,"['landscape', 'travel', 'city', 'cityscape', 'photographers on tumblr', 'uae', 'dubai', 'architecture', 'train', 'buildings', 'united arab emirates']",151
http://elriz.com/post/165474845712/burj-al-arab-jumeirah-beach-dubai,photo,2017-09-18 14:14:21 GMT,"['landscape', 'beach', 'travel', 'sea', 'photographers on tumblr', 'dubai', 'uae', 'burj al arab', 'jumeirah', 'jumeirah beach']",54
http://elriz.com/post/165445316642/dubai-metro-station,photo,2017-09-17 19:04:43 GMT,"['landscape', 'cityscape', 'city', 'travel', 'photographers on tumblr', 'dubai', 'uae', 'city lights', 'train', 'train station', 'dubai metro', 'dubai train']",96
http://elriz.com/post/165444149152/burj-khalifa,photo,2017-09-17 18:28:05 GMT,"['landscape', 'city', 'cityscape', 'travel', 'photographers on tumblr', 'dubai', 'uae', 'united arab emirates', 'dubai fountain']",287
http://elriz.com/post/165225990977/dubai-skyline-2017,photo,2017-09-11 15:14:45 GMT,"['dubai', 'landscape', 'city', 'cityscape', 'photographers on tumblr', 'uae', 'dubai 2017', 'city lights', 'long exposure', ""so i dobt have a tripod except for a gorillapod and it makes me wanna get a real tripod again 'cause i dont wanna miss this oppurtunity""]",32
